,business_name,telephone,business_page,rank,category,website,rating,street,locality,region,zipcode,listing_url,keyword,Address,x,y,STATE,GEOID,BLOCK,TRACT,geometry
11,Illinois Title Loans Inc,(847) 670-0167,https://www.yellowpages.com/arlington-heights-il/mip/illinois-title-loans-inc-467769363,162. ,"Payday Loans,Title Loans,Loans",http://www.illinoistitleloansinc.com,,1408 E Northwest Hwy,"Arlington Heights, IL 60004",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"1408 E Northwest Hwy Arlington Heights, IL 60004",-88.00061,42.091976,NS,17,3012,803200,POINT (-88.00060999999999 42.091976)
12,"Illinois Title Loans, Inc.",(708) 331-1992,https://www.yellowpages.com/markham-il/mip/illinois-title-loans-inc-451755395,163. ,"Payday Loans,Alternative Loans,Loans",http://www.illinoistitleloansinc.com,,15940 Kedzie Ave,"Markham, IL 60428",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"15940 Kedzie Ave Markham, IL 60428",-87.6946,41.60001,NS,17,2001,825600,POINT (-87.69459999999999 41.60001)
13,"Illinois Title Loans, Inc.",(708) 889-0503,https://www.yellowpages.com/lansing-il/mip/illinois-title-loans-inc-2283013,164. ,"Payday Loans,Alternative Loans,Loans",http://www.illinoistitleloansinc.com,,17310 Torrence Ave,"Lansing, IL 60438",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"17310 Torrence Ave Lansing, IL 60438",-87.55887,41.580963,NS,17,2021,827901,POINT (-87.55887 41.580963)
14,PLS Loan Store,(708) 889-1700,https://www.yellowpages.com/lansing-il/mip/pls-loan-store-460442936,165. ,"Payday Loans,Alternative Loans,Check Cashing Service",http://pls247.com/il/store-locator/store/55-16909-s-torrence-ave-lansing.html,1,16909 Torrence Ave,"Lansing, IL 60438",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"16909 Torrence Ave Lansing, IL 60438",-87.55887,41.588303,NS,17,4016,827902,POINT (-87.55887 41.588303)
15,Check N' Go,(630) 261-9100,https://www.yellowpages.com/lombard-il/mip/check-n-go-472291102,166. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,1,217 E Roosevelt Rd,"Lombard, IL 60148",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"217 E Roosevelt Rd Lombard, IL 60148",-88.0113,41.860245,NS,17,2004,844309,POINT (-88.01130000000001 41.860245)
16,Check N' Go,(708) 868-8400,https://www.yellowpages.com/calumet-city-il/mip/check-n-go-458016136,167. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,2010 River Oaks Dr,"Calumet City, IL 60409",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"2010 River Oaks Dr Calumet City, IL 60409",,,,,,,POINT (nan nan)
17,Check N' Go,(708) 206-1000,https://www.yellowpages.com/glenwood-il/mip/check-n-go-2389993,168. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,18300 S Halsted St Ste D,"Glenwood, IL 60425",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"18300 S Halsted St Ste D Glenwood, IL 60425",-87.636086,41.557198,NS,17,1000,828701,POINT (-87.63608600000001 41.557198)
18,USA Payday Loans,(708) 333-3678,https://www.yellowpages.com/south-holland-il/mip/usa-payday-loans-16180017,169. ,"Payday Loans,Loans,Financing Services",,1,428 E 162nd St,"South Holland, IL 60473",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"428 E 162nd St South Holland, IL 60473",-87.626945,41.60092,NS,17,4010,827200,POINT (-87.62694500000001 41.60092)
19,Advance America,(847) 956-7900,https://www.yellowpages.com/elk-grove-village-il/mip/advance-america-4574018,170. ,"Payday Loans,Check Cashing Service,Loans",http://www.advanceamerica.net,,2280 Elmhurst Rd,"Elk Grove Village, IL 60007",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"2280 Elmhurst Rd Elk Grove Village, IL 60007",-87.93997,41.99491,NS,17,2065,770500,POINT (-87.93997 41.99491)
20,Check Into Cash,(815) 223-6800,https://www.yellowpages.com/lansing-il/mip/check-into-cash-2039352,171. ,"Payday Loans,Check Cashing Service,Bill Paying Service",https://local.checkintocash.com/il/lansing/2378-east-172nd-street--suite-6-4035.html,,2378 172nd St Suite 6,"Lansing, IL 60438",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"2378 172nd St Suite 6 Lansing, IL 60438",-87.56067,41.58287,NS,17,2001,827901,POINT (-87.56067 41.58287)
21,Advance America,(708) 418-3449,https://www.yellowpages.com/lansing-il/mip/advance-america-2363287,172. ,"Payday Loans,Check Cashing Service,Loans",http://www.advanceamerica.net,,17655 Torrence Ave,"Lansing, IL 60438",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"17655 Torrence Ave Lansing, IL 60438",-87.55883,41.574413,NS,17,3009,828000,POINT (-87.55883 41.574413)
22,Check Into Cash,(219) 844-2667,https://www.yellowpages.com/hammond-in/mip/check-into-cash-25479655,173. ,"Payday Loans,Check Cashing Service,Bill Paying Service",https://local.checkintocash.com/in/hammond/1812-165th-street--suite-a-2034.html,,1812 165th St Suite A,"Hammond, IN 46320",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"1812 165th St Suite A Hammond, IN 46320",-87.48945,41.595684,NS,18,1000,021300,POINT (-87.48945000000001 41.595684)
23,Check Into Cash,(847) 690-1242,https://www.yellowpages.com/des-plaines-il/mip/check-into-cash-14340332,174. ,"Payday Loans,Check Cashing Service,Bill Paying Service",https://local.checkintocash.com/il/des-plaines/781-w-golf-road-4018.html,,781 W Golf Rd,"Des Plaines, IL 60016",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"781 W Golf Rd Des Plaines, IL 60016",-87.904625,42.053883,NS,17,1006,806102,POINT (-87.904625 42.053883)
24,Advance America,(630) 627-4904,https://www.yellowpages.com/lombard-il/mip/advance-america-716579,175. ,"Payday Loans,Check Cashing Service,Loans",http://www.advanceamerica.net,,340 E North Ave,"Lombard, IL 60148",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"340 E North Ave Lombard, IL 60148",-88.012146,41.904934,NS,17,1035,846702,POINT (-88.012146 41.904934)
25,PLS Loan Store,(630) 916-0202,https://www.yellowpages.com/lombard-il/mip/pls-loan-store-512555603,176. ,"Payday Loans,Alternative Loans,Financial Planning Consultants",http://pls247.com/il/store-locator/store/246-95-e-roosevelt-rd-lombard.html,1,95 E Roosevelt Rd,"Lombard, IL 60148",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"95 E Roosevelt Rd Lombard, IL 60148",-88.01468,41.860146,NS,17,2001,844304,POINT (-88.01468 41.860146)
26,Advance America,(708) 596-2599,https://www.yellowpages.com/oak-forest-il/mip/advance-america-2051660,177. ,"Payday Loans,Check Cashing Service,Loans",http://www.advanceamerica.net,,4142 167th St,"Oak Forest, IL 60452",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"4142 167th St Oak Forest, IL 60452",,,,,,,POINT (nan nan)
27,Cash Store,(630) 629-8583,https://www.yellowpages.com/lombard-il/mip/cash-store-497654499,178. ,"Payday Loans,Loans,Check Cashing Service",http://www.cashstore.com/local/payday-loans-lombard-il,,266 E Roosevelt Rd,"Lombard, IL 60148",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"266 E Roosevelt Rd Lombard, IL 60148",-88.013054,41.860207,NS,17,1007,844201,POINT (-88.013054 41.860207)
28,Advance America,(219) 933-3067,https://www.yellowpages.com/hammond-in/mip/advance-america-545275533,179. ,"Payday Loans,Check Cashing Service,Financing Services",http://www.advanceamerica.net,,1301 165th St,"Hammond, IN 46320",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"1301 165th St Hammond, IN 46320",-87.49854,41.59563,NS,18,3015,020800,POINT (-87.49854000000001 41.59563)
29,Check N' Go,(708) 331-2220,https://www.yellowpages.com/south-holland-il/mip/check-n-go-13577424,180. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,16120 State St,"South Holland, IL 60473",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=6",payday loans,"16120 State St South Holland, IL 60473",-87.617035,41.60212,ST,17,3044,827200,POINT (-87.617035 41.60212)
0,PLS Loan Store,(708) 596-4500,https://www.yellowpages.com/south-holland-il/mip/pls-loan-store-544425628,181. ,"Payday Loans,Financing Services,Financial Services",http://pls247.com/il/store-locator/store/257-1006a-e-162nd-st-south-holland.html,,1006b E 162nd St,"South Holland, IL 60473",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"1006b E 162nd St South Holland, IL 60473",,,,,,,POINT (nan nan)
1,Advance America,(708) 535-8946,https://www.yellowpages.com/oak-forest-il/mip/advance-america-599085,182. ,"Payday Loans,Check Cashing Service,Loans",http://www.advanceamerica.net,,5500 159th St,"Oak Forest, IL 60452",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"5500 159th St Oak Forest, IL 60452",-87.754234,41.602943,NS,17,3000,825000,POINT (-87.754234 41.602943)
2,Hancock & Co PC,(708) 474-8900,https://www.yellowpages.com/lansing-il/mip/hancock-co-pc-7239328,183. ,"Payday Loans,Accountants-Certified Public,Accounting Services",http://hancocpa.com,,16800 Chicago Ave Ste B,"Lansing, IL 60438",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"16800 Chicago Ave Ste B Lansing, IL 60438",-87.5443,41.59012,NS,17,4000,827902,POINT (-87.54430000000001 41.59012)
3,Metro Loan Stores,(708) 571-3545,https://www.yellowpages.com/harvey-il/mip/metro-loan-stores-519655763,184. ,"Payday Loans,Financing Services,Loans",http://metroloans.com,,15900 Halsted St,"Harvey, IL 60426",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"15900 Halsted St Harvey, IL 60426",-87.63642,41.600876,NS,17,2018,827500,POINT (-87.63642 41.600876)
4,Check N' Go,(630) 261-9100,https://www.yellowpages.com/lombard-il/mip/check-n-go-560679865,185. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,217 W Roosevelt Rd,"Lombard, IL 60148",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"217 W Roosevelt Rd Lombard, IL 60148",-88.024765,41.859886,NS,17,3000,844304,POINT (-88.024765 41.859886)
5,Advance America,(219) 933-3067,https://www.yellowpages.com/hammond-in/mip/advance-america-548741828,186. ,"Payday Loans,Check Cashing Service,Loans",http://www.advanceamerica.net,,6419 Columbia Ave,"Hammond, IN 46320",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"6419 Columbia Ave Hammond, IN 46320",-87.50014,41.596313,NS,18,3015,020800,POINT (-87.50014 41.596313)
6,Check N' Go,(708) 922-0100,https://www.yellowpages.com/hazel-crest-il/mip/check-n-go-7755449,187. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,18226 Kedzie Ave,"Hazel Crest, IL 60429",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"18226 Kedzie Ave Hazel Crest, IL 60429",-87.69427,41.558052,NS,17,2028,825504,POINT (-87.69427 41.558052)
7,Midwest Title Loans,(708) 474-3237,https://www.yellowpages.com/lansing-il/mip/midwest-title-loans-474028594,188. ,"Payday Loans,Title Loans",https://www.midwesttitleloans.net/Locations/ILLINOIS/Lansing/17350-Torrence-Ave,1,17350 Torrence Ave,"Lansing, IL 60438",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"17350 Torrence Ave Lansing, IL 60438",-87.55887,41.580765,NS,17,2021,827901,POINT (-87.55887 41.580765)
8,USA Payday Loans,(847) 759-8533,https://www.yellowpages.com/des-plaines-il/mip/usa-payday-loans-10841847,189. ,"Financing Services,Loans,Check Cashing Service",,,9572 Potter Rd,"Des Plaines, IL 60016",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=7",payday loans,"9572 Potter Rd Des Plaines, IL 60016",-87.86,42.053616,NS,17,2000,806002,POINT (-87.86 42.053616)
0,Clark Pawners & Jewelers,(773) 528-7900,https://www.yellowpages.com/chicago-il/mip/clark-pawners-jewelers-530345039?lid=1002055748706,1. ,"Pawnbrokers,Jewelers,Gold, Silver & Platinum Buyers & Dealers",http://www.clarkpawners.com,1,2626 N Clark St,"Chicago, IL 60614",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"2626 N Clark St Chicago, IL 60614",-87.643715,41.930386,NS,17,1011,070200,POINT (-87.643715 41.930386)
1,Cash Exchange Jewelry & Loan,(872) 208-8593,https://www.yellowpages.com/chicago-il/mip/cash-exchange-jewelry-loan-21980416?lid=1002041198992,2. ,"Pawnbrokers,Musical Instruments,Diamonds",https://www.pawnbrokerchicago.com,,1236 W Devon Ave,"Chicago, IL 60660",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"1236 W Devon Ave Chicago, IL 60660",-87.66232,41.998177,NS,17,1006,010503,POINT (-87.66231999999999 41.998177)
2,Crown Royal Jewelry & Loan,(866) 329-8181,https://www.yellowpages.com/chicago-il/mip/crown-royal-jewelry-loan-2155270?lid=1001400519288,3. ,"Pawnbrokers,Financial Services,Loans",http://www.crownroyalpawn.com,,6210 W North Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"6210 W North Ave Chicago, IL 60639",-87.78076,41.909195,NS,17,5026,250400,POINT (-87.78076 41.909195)
3,Chatham Jewelry & Loan,(773) 487-9593,https://www.yellowpages.com/chicago-il/mip/chatham-jewelry-loan-462335759?lid=1001400518293,4. ,Pawnbrokers,http://chathampawnshop.com,,645 E 79th St,"Chicago, IL 60619",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"645 E 79th St Chicago, IL 60619",-87.60856,41.75122,NS,17,1002,440201,POINT (-87.60856 41.75122)
4,Archie's,(773) 774-1433,https://www.yellowpages.com/chicago-il/mip/archies-21971903?lid=1001457354181,5. ,"Pawnbrokers,Hobby & Model Shops,Watches",http://www.sellyourgoldchicago.com,,5516 W Devon Ave,"Chicago, IL 60646",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"5516 W Devon Ave Chicago, IL 60646",-87.76639,41.99733,NS,17,3011,120100,POINT (-87.76639 41.99733)
5,Ezpawn,(773) 890-0903,https://www.yellowpages.com/chicago-il/mip/ezpawn-461923056,6. ,"Pawnbrokers,Gold, Silver & Platinum Buyers & Dealers,Loans",https://stores.ezpawn.com/il/chicago/4824-s--ashland-avenue.html,1,4824 S Ashland Ave,"Chicago, IL 60609",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"4824 S Ashland Ave Chicago, IL 60609",-87.66492,41.806255,NS,17,1003,611300,POINT (-87.66492 41.806255)
6,Pawn Chicago,(773) 777-2777,https://www.yellowpages.com/chicago-il/mip/pawn-chicago-472413031,7. ,Pawnbrokers,https://www.pawnchicago.net,,5604 W Belmont Ave,"Chicago, IL 60634",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"5604 W Belmont Ave Chicago, IL 60634",-87.766685,41.93858,NS,17,2018,151200,POINT (-87.766685 41.93858)
7,West Town Jewelry,(312) 374-1906,https://www.yellowpages.com/chicago-il/mip/west-town-jewelry-530426409,8. ,"Pawnbrokers,Jewelers",http://www.goldbuyersinchicago.com,1,2059 W Chicago Ave,"Chicago, IL 60622",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"2059 W Chicago Ave Chicago, IL 60622",-87.67849,41.89588,NS,17,1000,243000,POINT (-87.67849 41.89588)
8,Big Money Pawn,(773) 776-4220,https://www.yellowpages.com/chicago-il/mip/big-money-pawn-497216934,9. ,"Pawnbrokers,Jewelers-Wholesale & Manufacturers,Watches",,1,5016 S Ashland Ave,"Chicago, IL 60609",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"5016 S Ashland Ave Chicago, IL 60609",-87.66482,41.80274,NS,17,2008,611300,POINT (-87.66482000000001 41.80274)
9,Value Pawn Inc,(773) 530-0183,https://www.yellowpages.com/chicago-il/mip/value-pawn-inc-497906245,10. ,Pawnbrokers,,1,9028 S Commercial Ave,"Chicago, IL 60617",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"9028 S Commercial Ave Chicago, IL 60617",-87.551285,41.73106,NS,17,2009,833900,POINT (-87.55128499999999 41.73106)
10,Chicago Loan Company,(312) 236-2929,https://www.yellowpages.com/chicago-il/mip/chicago-loan-company-24548,11. ,"Pawnbrokers,Jewelry Buyers,Jewelers-Wholesale & Manufacturers",https://chicagoloan.com,,29 E Madison St Ste 1215,"Chicago, IL 60602",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"29 E Madison St Ste 1215 Chicago, IL 60602",-87.62675,41.88207,NS,17,1010,320400,POINT (-87.62675 41.88207)
11,What & Gem Inc.,(708) 391-0668,https://www.yellowpages.com/chicago-il/mip/what-gem-inc-504405301,12. ,Pawnbrokers,http://whatagemil.com,,633 W Cermak Rd,"Chicago, IL 60616",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"633 W Cermak Rd Chicago, IL 60616",-87.64307,41.852684,NS,17,2020,843200,POINT (-87.64306999999999 41.852684)
12,New Elephant Resale Shop of Chicago,(773) 770-3488,https://www.yellowpages.com/chicago-il/mip/new-elephant-resale-shop-of-chicago-530573296,13. ,Pawnbrokers,http://www.newelephantresaleshopofchicago.org,,2325 N Clark St,"Chicago, IL 60614",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"2325 N Clark St Chicago, IL 60614",-87.63987,41.924618,NS,17,3003,071400,POINT (-87.63987 41.924618)
13,American Jewelry & Pawn,(773) 539-4000,https://www.yellowpages.com/chicago-il/mip/american-jewelry-pawn-538983630,14. ,Pawnbrokers,,,3212 N Kimball Ave,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"3212 N Kimball Ave Chicago, IL 60618",-87.71252,41.939545,NS,17,1021,831100,POINT (-87.71252 41.939545)
14,Chicago Tech Inc.,(312) 948-9480,https://www.yellowpages.com/chicago-il/mip/chicago-tech-inc-6397371,15. ,Pawnbrokers,http://chicagotech.com,,4043 N Ravenswood Ave Ste 121,"Chicago, IL 60613",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"4043 N Ravenswood Ave Ste 121 Chicago, IL 60613",-87.673805,41.95505,NS,17,2005,060200,POINT (-87.673805 41.95505)
15,Cash Exchange Pawn Brokers,(773) 262-2274,https://www.yellowpages.com/chicago-il/mip/cash-exchange-pawn-brokers-534551844,16. ,"Pawnbrokers,Coin Dealers & Supplies,Antiques",http://pawnbrokerchicago.com,,1236 1/2 W Devon Ave,"Chicago, IL 60660",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"1236 1/2 W Devon Ave Chicago, IL 60660",-87.66232,41.998177,NS,17,1006,010503,POINT (-87.66231999999999 41.998177)
16,Chicago Pawn Broker,(312) 332-0988,https://www.yellowpages.com/chicago-il/mip/chicago-pawn-broker-535964220,17. ,"Pawnbrokers,Watches,Jewelry Buyers",http://www.pawnshop716.com,,67 E Madison St Ste 716,"Chicago, IL 60603",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"67 E Madison St Ste 716 Chicago, IL 60603",-87.62818,41.882008,NS,17,1072,839100,POINT (-87.62818 41.882008)
17,Maria's Yard Resale Shop,(773) 940-1355,https://www.yellowpages.com/chicago-il/mip/marias-yard-resale-shop-519657521,18. ,Pawnbrokers,http://www.chicagothriftshop.com,,3791 S Archer Ave,"Chicago, IL 60632",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"3791 S Archer Ave Chicago, IL 60632",-87.68726,41.824497,NS,17,2021,580100,POINT (-87.68725999999999 41.824497)
18,Woodard Furniture,(312) 423-5600,https://www.yellowpages.com/chicago-il/mip/woodard-furniture-537384242,19. ,Pawnbrokers,,,300 N State St,"Chicago, IL 60654",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"300 N State St Chicago, IL 60654",-87.62803,41.887897,ST,17,1010,081600,POINT (-87.62803 41.887897)
19,Larry's Pawnshop,(630) 248-7001,https://www.yellowpages.com/chicago-il/mip/larrys-pawnshop-524387904,20. ,Pawnbrokers,,,613 E Bowen Ave,"Chicago, IL 60653",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"613 E Bowen Ave Chicago, IL 60653",-87.61136,41.819416,NS,17,1018,380100,POINT (-87.61136 41.819416)
20,Tawakal Imports Inc,(312) 649-5700,https://www.yellowpages.com/chicago-il/mip/tawakal-imports-inc-456604157,21. ,Pawnbrokers,,,858 N Orleans St,"Chicago, IL 60610",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"858 N Orleans St Chicago, IL 60610",-87.637245,41.898315,NS,17,1002,081800,POINT (-87.63724499999999 41.898315)
21,Pawn Works,(312) 841-3986,https://www.yellowpages.com/chicago-il/mip/pawn-works-530684308,22. ,Pawnbrokers,http://pawnworkschicago.com,,1050 N Damen Ave,"Chicago, IL 60622",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"1050 N Damen Ave Chicago, IL 60622",-87.6772,41.90077,NS,17,1010,242300,POINT (-87.6772 41.90077)
22,Pawnbucktown,(773) 661-2125,https://www.yellowpages.com/chicago-il/mip/pawnbucktown-506479995,23. ,Pawnbrokers,,,1219 N Milwaukee Ave,"Chicago, IL 60642",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"1219 N Milwaukee Ave Chicago, IL 60642",-87.66716,41.903797,NS,17,2006,241600,POINT (-87.66716 41.903797)
23,Buck Town Pawn,(773) 661-2125,https://www.yellowpages.com/chicago-il/mip/buck-town-pawn-520970625,24. ,Pawnbrokers,http://www.valuepawnchicago.com,,1219 N Ashland Ave,"Chicago, IL 60622",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"1219 N Ashland Ave Chicago, IL 60622",-87.66751,41.904217,NS,17,2006,241600,POINT (-87.66750999999999 41.904217)
24,W B,(773) 778-9650,https://www.yellowpages.com/chicago-il/mip/w-b-459690923,25. ,Pawnbrokers,,,3109 W 63rd St,"Chicago, IL 60629",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"3109 W 63rd St Chicago, IL 60629",-87.70109,41.779,NS,17,5002,660600,POINT (-87.70108999999999 41.779)
25,K&S Inc,(773) 236-3195,https://www.yellowpages.com/chicago-il/mip/k-s-inc-512932352,26. ,Pawnbrokers,,,3300 W 63rd St,"Chicago, IL 60629",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"3300 W 63rd St Chicago, IL 60629",-87.70576,41.77894,NS,17,2015,660400,POINT (-87.70576 41.77894)
26,Chicago Superpawn,(773) 394-4968,https://www.yellowpages.com/chicago-il/mip/chicago-superpawn-510502839,27. ,"Pawnbrokers,Jewelers,Jewelers-Wholesale & Manufacturers",http://www.chicago-superpawn.com,,3401 W Fullerton Ave,"Chicago, IL 60647",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"3401 W Fullerton Ave Chicago, IL 60647",-87.71215,41.924656,NS,17,3000,221100,POINT (-87.71214999999999 41.924656)
27,Iglesia Mision Del Valle Resale Shop,(773) 227-7260,https://www.yellowpages.com/chicago-il/mip/iglesia-mision-del-valle-resale-shop-21681068,28. ,Pawnbrokers,http://www.iglesiamisiondelvalle.com,,4325 W Armitage Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"4325 W Armitage Ave Chicago, IL 60639",-87.734924,41.917053,NS,17,2002,831200,POINT (-87.73492400000001 41.917053)
28,Rags To Riches Fashion Ltd,(872) 208-6451,https://www.yellowpages.com/chicago-il/mip/rags-to-riches-fashion-ltd-524596628,29. ,Pawnbrokers,,,2620 W Fletcher St,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"2620 W Fletcher St Chicago, IL 60618",-87.69453,41.93855,NS,17,1010,210900,POINT (-87.69453 41.93855)
29,Chatham Jewelry & Loan,(630) 635-6261,https://www.yellowpages.com/chicago-il/mip/chatham-jewelry-loan-516336833,30. ,Pawnbrokers,,,1861 E 71st St,"Chicago, IL 60649",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=1",pawnshop,"1861 E 71st St Chicago, IL 60649",-87.57897,41.76604,NS,17,1004,430500,POINT (-87.57897 41.76604)
0,South Shore Gllry & Estate Sales,(773) 363-8770,https://www.yellowpages.com/chicago-il/mip/south-shore-gllry-estate-sales-508921237,31. ,Pawnbrokers,,,2156 E 71st St,"Chicago, IL 60649",,,"https://www.yellowpages.com/search?search_terms=pawnshop&geo_location_terms=Chicago,%20IL&page=2",pawnshop,"2156 E 71st St Chicago, IL 60649",,,,,,,POINT (nan nan)
